Name,Age,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,order
J. Ortiz,33,74,74,73,77,68,71,75,69,67,67,69,55,65,9,16,6,9,9,64,72,77,76,68,68,66,68,68,75,77,52,72,76,72,63,73,68,71,68,72,70,73,71,69,68,73,72,70,71,67,69,69,71,69,68,73,72,70,71,67,69,69,67,2399
A. Plata,26,74,77,90,68,80,81,69,71,63,49,76,74,36,7,15,13,14,15,66,44,76,49,72,29,53,76,68,58,71,35,91,63,33,72,64,59,70,51,52,72,62,70,55,51,62,52,72,70,73,73,57,70,55,51,62,52,72,70,73,73,57,73,2400
L. Ulloa,30,74,74,44,71,55,57,72,72,51,55,70,74,56,13,8,8,16,11,83,33,74,63,63,27,73,76,75,69,76,45,53,67,48,88,61,72,67,56,57,69,65,67,53,56,65,57,69,65,73,66,54,67,53,56,65,57,69,65,73,66,54,73,2401
E. Room,28,74,75,46,22,47,46,26,32,20,13,12,16,12,75,74,69,70,75,11,14,70,29,12,19,37,9,72,22,17,13,44,34,17,65,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2402
T. Usami,25,74,77,79,30,79,80,75,72,70,71,80,71,60,9,11,9,6,7,41,34,33,69,70,28,59,72,65,72,63,21,76,66,27,37,73,62,73,37,50,72,68,73,50,37,68,50,72,73,67,74,55,73,50,37,68,50,72,73,67,74,55,67,2403
Fábio Espinho,31,74,74,74,68,88,83,75,68,70,69,74,67,71,16,13,12,8,10,59,59,58,78,73,56,71,67,77,76,80,62,67,69,61,56,73,62,74,62,68,72,73,74,66,62,73,68,72,73,70,73,68,74,66,62,73,68,72,73,70,73,68,70,2404
Fábio Cardoso,23,74,82,62,79,56,57,63,60,32,37,53,22,29,7,14,12,15,8,73,72,76,47,25,75,39,35,75,60,64,73,70,72,75,76,41,29,51,73,67,52,55,51,67,73,55,67,52,53,52,50,65,51,67,73,55,67,52,53,52,50,65,52,2405
Hélder Barbosa,30,74,74,80,77,79,85,75,78,75,75,81,68,68,15,16,13,11,10,55,42,75,61,65,34,59,71,65,66,82,35,80,66,48,55,71,61,72,52,57,73,66,72,57,52,66,57,73,73,70,74,60,72,57,52,66,57,73,73,70,74,60,70,2406
S. Amrabat,20,74,83,69,66,72,77,80,72,76,66,77,47,55,13,13,6,16,12,54,65,60,80,48,58,47,60,72,80,67,52,68,76,55,77,75,58,71,62,69,68,73,71,66,62,73,69,68,73,64,70,69,71,66,62,73,69,68,73,64,70,69,64,2407
R. Mora,29,74,74,77,76,80,82,75,70,64,75,71,74,76,8,15,15,10,8,71,26,86,66,72,20,68,75,75,67,75,20,80,79,24,63,68,79,72,45,52,73,66,72,50,45,66,52,73,72,73,73,54,72,50,45,66,52,73,72,73,73,54,73,2408
R. Botta,27,74,74,80,55,75,75,77,77,73,75,80,64,74,8,9,13,8,7,38,33,54,70,62,31,64,66,70,73,60,26,80,70,27,63,78,64,74,43,54,72,69,74,52,43,69,54,72,74,66,74,57,74,52,43,69,54,72,74,66,74,57,66,2409
A. Ndiaye Diedhiou,20,74,87,90,62,87,79,71,75,63,51,86,75,29,6,7,14,8,9,58,41,83,58,61,37,49,76,68,68,71,35,90,76,52,64,67,59,73,53,57,75,67,73,59,53,67,57,75,74,73,75,61,73,59,53,67,57,75,74,73,75,61,73,2410
A. Adomah,29,74,74,86,55,74,62,73,65,71,63,75,68,53,1,1,1,1,1,49,61,72,64,64,33,65,71,71,68,71,26,87,73,41,68,70,59,72,51,59,72,68,72,58,51,68,59,72,73,69,73,62,72,58,51,68,59,72,73,69,73,62,69,2411
Nélson Lenho,33,74,74,68,76,64,64,74,68,80,76,72,42,51,13,13,16,14,14,54,72,70,65,48,71,46,70,69,74,52,74,68,79,77,73,67,49,67,71,73,66,70,67,73,71,70,73,66,70,61,68,74,67,73,71,70,73,66,70,61,68,74,61,2412
L. Mchedlidze,27,74,75,63,70,58,36,76,70,42,43,70,76,50,11,8,9,15,12,76,25,56,50,54,14,56,74,68,64,72,20,70,66,34,86,60,68,67,47,49,70,61,67,46,47,61,49,70,65,73,67,48,67,46,47,61,49,70,65,73,67,48,73,2413
A. Soumaoro,25,74,79,52,72,53,65,56,66,57,31,47,31,36,6,10,8,16,14,76,70,80,49,42,75,40,34,62,61,48,72,64,75,75,92,32,35,48,73,66,48,53,48,67,73,53,66,48,52,51,49,65,48,67,73,53,66,48,52,51,49,65,51,2414
S. Bergwijn,19,74,84,87,44,78,85,77,67,66,70,82,66,57,11,14,12,14,13,55,21,70,53,65,24,59,68,69,70,72,26,84,66,25,68,66,62,72,42,49,73,64,72,50,42,64,49,73,73,70,74,54,72,50,42,64,49,73,73,70,74,54,70,2415
J. Forlín,29,74,74,62,72,63,68,65,67,61,51,50,36,38,10,6,7,13,8,69,78,90,64,27,78,51,41,69,65,60,72,66,73,73,71,59,40,56,73,70,55,61,56,70,73,61,70,55,59,54,55,69,56,70,73,61,70,55,59,54,55,69,54,2416
L. Traoré,27,74,75,68,55,38,31,67,67,35,40,71,73,36,10,10,10,15,14,80,41,59,34,69,18,73,80,70,61,74,16,68,61,35,91,70,69,67,49,49,71,60,67,46,49,60,49,71,64,73,66,48,67,46,49,60,49,71,64,73,66,48,73,2417
T. Kalas,24,74,79,74,70,72,72,64,68,51,25,63,38,18,8,8,9,7,7,72,74,82,50,65,75,53,46,71,67,66,72,76,74,72,76,48,24,60,73,68,60,61,60,70,73,61,68,60,60,59,60,69,60,70,73,61,68,60,60,59,60,69,59,2418
Aitor Sanz,32,74,74,70,76,70,71,73,82,64,72,68,56,70,14,11,12,9,16,42,70,66,80,64,66,64,63,69,75,75,65,64,81,72,76,78,55,70,68,73,68,73,70,68,68,73,73,68,70,64,68,70,70,68,68,73,73,68,70,64,68,70,64,2419
J. Fernandes,28,74,74,76,63,76,63,76,63,37,66,75,72,57,7,12,6,15,14,70,25,67,44,68,23,61,72,70,72,70,21,79,69,29,76,51,69,69,46,49,71,61,69,48,46,61,49,71,67,73,69,50,69,48,46,61,49,71,67,73,69,50,73,2420
T. Touré,23,74,79,78,69,80,73,75,69,69,76,75,68,68,10,14,9,12,8,67,46,70,63,72,41,66,73,69,75,69,35,80,69,42,67,74,70,74,54,59,73,69,74,58,54,69,59,73,73,71,74,61,74,58,54,69,59,73,73,71,74,61,71,2421
M. Langerak,28,74,75,48,18,46,29,22,48,18,19,14,13,17,77,73,52,70,78,19,19,65,23,14,15,22,14,74,36,21,19,51,33,15,64,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422
S. Johansen,26,74,77,69,85,75,75,76,75,69,71,71,69,74,7,16,7,9,14,53,62,62,74,66,62,51,71,72,76,73,59,70,89,62,66,75,64,73,65,71,72,73,73,68,65,73,71,72,73,69,72,70,73,68,65,73,71,72,73,69,72,70,69,2423
Tiago Pinto,29,74,74,86,63,84,77,74,74,73,68,74,48,69,15,6,16,13,8,59,71,75,72,73,67,51,67,73,72,76,71,79,82,72,64,69,49,71,69,71,70,72,71,73,69,72,71,70,73,67,72,74,71,73,69,72,71,70,73,67,72,74,67,2424
P. Gallese,27,74,76,45,22,34,57,22,25,21,12,19,20,17,77,69,68,72,72,18,25,58,24,12,12,22,18,76,31,24,19,49,30,19,49,59,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425
M. Mevlja,27,74,77,71,63,65,52,58,75,52,42,55,34,42,9,12,12,14,13,73,73,63,72,32,78,47,35,65,66,47,77,69,71,78,81,54,48,55,73,70,53,61,55,70,73,61,70,53,58,53,54,68,55,70,73,61,70,53,58,53,54,68,53,2426
Kim Shin Wook,29,74,74,61,73,54,64,75,67,52,53,60,75,50,7,10,7,10,8,80,26,69,62,72,54,73,75,75,67,79,42,42,77,40,90,68,72,68,57,58,69,66,68,54,57,66,58,69,66,73,66,55,68,54,57,66,58,69,66,73,66,55,73,2427
N. Taylor,28,74,74,77,66,70,83,72,67,67,69,68,30,34,15,16,14,16,6,63,76,76,70,47,75,44,60,64,70,46,80,67,74,75,65,64,35,64,72,72,61,67,64,73,72,67,72,61,66,56,63,72,64,73,72,67,72,61,66,56,63,72,56,2428
U. Demirok,28,74,74,52,68,49,56,58,73,40,32,57,42,22,6,8,13,7,8,76,74,44,68,30,74,72,40,72,64,55,75,45,80,77,85,64,29,56,73,71,54,63,56,67,73,63,71,54,56,55,52,65,56,67,73,63,71,54,56,55,52,65,55,2429
D. Stephens,28,74,74,63,78,69,66,72,88,70,67,64,63,61,11,15,8,13,10,65,72,89,73,70,69,44,66,73,77,67,69,63,84,74,68,71,69,70,72,74,68,73,70,71,72,73,74,68,70,67,68,72,70,71,72,73,74,68,70,67,68,72,67,2430
T. Matlaba,29,74,74,85,41,80,86,72,74,72,66,74,67,45,6,11,15,14,16,53,68,56,72,83,72,48,68,69,70,76,76,82,75,72,48,67,64,72,65,69,72,71,72,73,65,71,69,72,73,69,73,73,72,73,65,71,69,72,73,69,73,73,69,2431
Merino,21,74,84,62,74,64,57,77,66,59,68,73,62,69,9,12,9,13,14,75,74,68,74,67,59,58,70,71,77,63,65,61,69,75,74,74,58,72,71,73,70,74,72,69,71,74,73,70,70,69,69,69,72,69,71,74,73,70,70,69,69,69,69,2432
Marc Roca,20,74,85,55,69,66,60,75,65,61,66,71,59,52,12,11,11,10,8,42,71,55,74,65,70,55,60,70,80,43,73,57,69,75,64,73,44,70,68,73,66,73,70,68,68,73,73,66,68,60,67,70,70,68,68,73,73,66,68,60,67,70,60,2433
J. Rodwell,26,74,76,64,73,73,62,75,71,68,66,72,69,47,9,10,15,11,12,78,75,78,72,75,72,57,70,74,75,77,66,62,72,73,75,74,66,73,73,73,72,73,73,71,73,73,73,72,71,72,71,71,73,71,73,73,73,72,71,72,71,71,72,2434
Mauro,26,74,76,67,80,70,70,72,65,65,64,66,39,49,10,12,10,8,13,67,73,82,78,52,73,50,56,73,74,58,70,69,55,76,69,64,49,66,73,73,63,69,66,70,73,69,73,63,66,60,64,69,66,70,73,69,73,63,66,60,64,69,60,2435
D. Biseswar,29,74,74,76,54,80,82,77,68,70,85,81,66,69,15,7,7,12,15,42,31,70,68,77,23,40,70,72,70,75,23,75,65,24,62,69,65,73,42,52,73,67,73,50,42,67,52,73,73,69,74,54,73,50,42,67,52,73,73,69,74,54,69,2436
Y. Al Shahrani,25,74,75,90,64,81,77,72,63,69,68,69,48,65,13,15,14,9,8,53,74,59,69,66,73,62,66,72,75,68,71,85,79,69,54,61,55,69,68,71,68,70,69,73,68,70,71,68,71,64,70,74,69,73,68,70,71,68,71,64,70,74,64,2437
M. Škriniar,22,74,81,64,74,37,48,65,67,43,38,42,41,39,10,13,12,8,12,75,70,76,61,35,75,58,36,65,67,54,77,63,64,79,69,41,45,52,73,68,52,58,52,68,73,58,68,52,54,54,51,65,52,68,73,58,68,52,54,54,51,65,54,2438
S. Privat,27,74,74,68,36,67,48,73,64,43,60,63,71,59,11,10,15,15,6,82,44,79,52,70,20,66,75,74,69,74,21,63,55,19,84,56,69,67,47,49,69,61,67,47,47,61,49,69,64,73,66,49,67,47,47,61,49,69,64,73,66,49,73,2439
Júnior Caiçara,28,74,74,86,67,77,88,76,64,73,74,76,43,73,16,12,15,14,16,44,70,69,65,67,71,78,72,74,75,73,73,78,78,74,46,63,51,71,67,71,70,71,71,73,67,71,71,70,73,64,72,75,71,73,67,71,71,70,73,64,72,75,64,2440
G. Sara,29,74,74,41,23,30,53,17,26,14,24,20,15,21,74,70,75,69,77,23,24,72,23,17,13,30,15,77,29,23,16,44,30,12,70,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441
A. Ríos,28,74,74,66,73,63,63,68,67,50,70,57,39,60,6,16,13,8,15,54,74,64,76,77,73,55,59,68,76,75,64,66,79,70,76,69,59,66,69,73,63,70,66,68,69,70,73,63,64,61,62,68,66,68,69,70,73,63,64,61,62,68,61,2442
O. Tannane,23,74,79,80,77,82,73,76,66,63,81,80,75,72,9,6,7,11,10,48,33,63,67,78,36,70,76,69,71,83,37,76,66,32,71,62,73,73,49,56,74,67,73,54,49,67,56,74,73,73,74,57,73,54,49,67,56,74,73,73,74,57,73,2443
R. Ribagaso,29,74,74,71,79,64,65,69,68,73,45,61,45,46,13,9,1,13,7,68,70,64,69,52,76,51,51,72,70,55,71,73,81,77,62,70,41,64,72,72,62,68,64,73,72,68,72,62,67,59,64,72,64,73,72,68,72,62,67,59,64,72,59,2444
I. Armaş,29,74,74,50,71,45,48,58,68,37,41,24,22,33,7,16,12,6,12,77,75,32,54,35,77,38,27,63,65,59,72,53,70,75,87,45,13,46,73,68,44,54,46,65,73,54,68,44,46,47,42,62,46,65,73,54,68,44,46,47,42,62,47,2445
F. Cacciatore,30,74,74,74,72,68,75,61,74,69,53,61,45,38,5,14,10,13,5,68,74,77,65,56,75,39,60,74,65,71,77,76,79,77,79,48,45,61,74,71,61,64,61,73,74,64,71,61,64,63,62,72,61,73,74,64,71,61,64,63,62,72,63,2446
R. van Rhijn,26,74,76,81,72,74,66,72,65,76,81,65,45,78,8,8,15,16,7,72,66,68,73,67,71,55,61,70,69,82,74,83,80,73,67,53,70,65,71,70,66,67,65,73,71,67,70,66,69,66,67,73,65,73,71,67,70,66,69,66,67,73,66,2447
F. Bastians,29,74,74,75,68,66,60,66,71,70,70,66,49,69,6,8,14,11,12,71,74,75,72,67,71,63,56,73,72,71,72,85,78,75,77,60,67,66,73,72,65,68,66,73,73,68,72,65,68,65,66,73,66,73,73,68,72,65,68,65,66,73,65,2448
Victorino Magela,29,74,74,41,41,32,45,21,71,9,8,8,9,19,71,72,73,75,76,9,25,61,15,8,8,16,21,68,16,21,9,42,31,8,81,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449
J. Troisi,28,74,74,79,46,78,70,77,72,70,78,73,63,69,12,10,14,6,13,56,43,71,68,75,22,69,70,70,74,75,38,76,71,40,69,74,70,73,49,57,72,69,73,56,49,69,57,72,73,70,73,59,73,56,49,69,57,72,73,70,73,59,70,2450
K. Kamara,32,74,74,75,75,75,69,69,71,64,60,71,73,42,11,8,11,6,16,80,30,92,51,64,29,74,75,73,66,75,18,77,78,13,78,59,68,68,47,50,71,61,68,50,47,61,50,71,69,73,70,53,68,50,47,61,50,71,69,73,70,53,73,2451
M. Çağıran,24,74,79,69,73,68,61,76,74,72,71,75,64,74,9,11,8,11,7,76,72,82,78,74,65,65,66,73,77,80,65,68,79,71,78,74,52,73,72,73,72,75,73,71,72,75,73,72,73,72,72,72,73,71,72,75,73,72,73,72,72,72,72,2452
K. Nababkin,30,74,74,77,75,63,67,66,64,68,52,58,61,46,14,8,15,14,6,70,72,73,69,57,74,58,57,63,72,53,76,86,80,75,72,53,32,63,73,71,63,66,63,73,73,66,71,63,66,63,65,72,63,73,73,66,71,63,66,63,65,72,63,2453
G. Lo Celso,21,74,86,75,65,77,78,79,68,73,67,76,55,72,10,7,10,15,14,36,34,57,73,64,28,55,66,64,78,75,48,75,74,55,57,80,69,73,50,60,71,71,73,58,50,71,60,71,73,65,72,62,73,58,50,71,60,71,73,65,72,62,65,2454
M. Diakhaby,20,74,82,47,76,46,33,52,71,28,30,42,25,26,15,11,10,14,11,83,73,86,42,27,75,49,24,68,56,45,68,39,75,76,84,37,31,44,73,65,43,50,44,63,73,50,65,43,44,46,41,60,44,63,73,50,65,43,44,46,41,60,46,2455
F. Moubandje,27,74,75,71,76,65,68,71,72,65,61,70,42,48,15,14,13,11,6,66,74,84,67,40,77,56,69,73,71,63,76,71,78,77,76,57,52,65,75,73,65,68,65,73,75,68,73,65,68,63,65,73,65,73,75,68,73,65,68,63,65,73,63,2456
G. Karadeniz,37,74,74,69,67,82,84,80,73,72,73,80,72,60,15,13,16,8,10,44,37,78,69,70,47,71,74,72,68,72,50,76,51,55,50,69,65,73,54,59,73,68,73,58,54,68,59,73,73,69,74,61,73,58,54,68,59,73,73,69,74,61,69,2457
T. Al Jassam,32,74,74,75,71,70,74,75,74,61,70,68,69,74,12,13,9,16,13,70,71,67,72,70,74,75,68,72,75,66,71,67,76,73,73,67,61,71,72,73,70,72,71,71,72,72,73,70,70,70,70,71,71,71,72,72,73,70,70,70,70,71,70,2458
M. Heller,31,74,74,93,58,83,80,72,64,75,65,78,68,49,15,13,10,12,13,56,20,65,52,58,15,54,71,70,69,68,24,93,79,37,58,54,68,70,42,49,71,62,70,53,42,62,49,71,73,70,74,57,70,53,42,62,49,71,73,70,74,57,70,2459
V. Pajot,26,74,74,67,80,68,73,74,73,62,56,71,51,54,9,11,16,16,11,73,76,77,73,66,72,59,64,77,77,64,72,63,74,74,63,75,47,71,73,74,69,73,71,72,73,73,74,69,70,65,68,72,71,72,73,73,74,69,70,65,68,72,65,2460
D. Bocanegra,30,74,74,71,76,59,56,72,68,73,65,61,42,76,13,13,7,7,14,72,69,80,59,73,71,52,53,76,72,72,68,74,87,72,74,61,47,65,72,71,64,67,65,73,72,67,71,64,67,63,65,73,65,73,72,67,71,64,67,63,65,73,63,2461
W. Hahn,25,74,79,45,36,44,49,24,41,21,24,19,12,13,74,74,66,68,79,14,24,75,40,19,20,20,13,70,45,46,19,50,38,15,77,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462
Adrianiscito,25,74,74,17,36,44,22,16,42,18,31,8,12,22,68,76,74,77,73,20,12,41,20,13,17,34,5,67,24,30,10,18,15,9,60,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463
D. Stracqualursi,29,74,74,61,50,56,44,72,77,48,38,59,79,35,7,7,12,15,11,79,32,77,41,69,38,63,78,63,63,80,31,66,72,37,83,44,68,63,51,50,67,58,63,51,51,58,50,67,62,73,64,52,63,51,51,58,50,67,62,73,64,52,73,2464
B. Castro,34,74,74,37,27,40,37,33,44,13,14,11,11,14,73,72,52,78,74,14,15,64,28,19,12,16,10,73,27,35,12,34,29,11,63,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2465
J. Forrest,25,74,75,93,34,92,88,74,67,73,66,75,66,61,12,10,8,9,9,47,15,66,62,62,27,67,68,66,69,68,15,88,73,23,61,73,58,72,38,47,72,64,72,49,38,64,47,72,73,68,74,53,72,49,38,64,47,72,73,68,74,53,68,2466
O. Onazi,24,74,77,83,69,90,91,75,65,67,75,72,51,60,13,9,13,14,7,53,74,55,74,77,65,60,68,71,74,78,73,78,84,75,68,72,68,72,69,73,71,73,72,73,69,73,73,71,72,67,71,74,72,73,69,73,73,71,72,67,71,74,67,2467
T. Strakosha,22,74,84,41,20,31,47,15,26,18,14,14,18,12,74,70,73,69,80,11,24,49,22,14,11,21,18,74,26,18,12,46,23,18,56,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468
C. Söyüncü,21,74,84,67,81,63,56,58,55,46,39,56,37,37,6,7,7,7,7,67,68,68,54,39,70,52,42,67,55,65,80,74,67,85,80,49,48,54,73,67,54,57,54,68,73,57,67,54,55,56,54,66,54,68,73,57,67,54,55,56,54,66,56,2469
K. Reichel,30,74,74,68,70,68,58,68,72,70,59,67,66,52,9,8,8,6,16,58,72,70,60,75,70,61,69,70,72,77,77,78,80,76,77,59,72,68,72,71,69,68,68,73,72,68,71,69,69,69,69,73,68,73,72,68,71,69,69,69,69,73,69,2470
Bebé,26,74,74,76,72,70,59,75,67,73,67,78,69,73,15,7,8,7,11,57,33,65,64,70,18,65,70,72,70,88,20,89,73,28,85,66,69,72,47,53,74,66,72,52,47,66,53,74,73,73,74,56,72,52,47,66,53,74,73,73,74,56,73,2471
M. Wagué,26,74,77,51,77,47,46,51,68,36,30,36,31,29,13,9,5,6,6,73,71,67,51,29,75,34,29,69,46,44,73,64,66,75,91,36,25,43,73,64,44,49,43,64,73,49,64,44,45,48,43,60,43,64,73,49,64,44,45,48,43,60,48,2472
M. Galvarado,25,74,74,77,53,72,77,71,67,71,46,73,51,49,11,10,18,11,14,71,71,71,66,52,72,62,59,73,69,55,73,71,82,72,62,51,58,65,69,69,65,67,65,73,69,67,69,65,68,63,67,73,65,73,69,67,69,65,68,63,67,73,63,2473
K. Tierney,20,74,85,84,74,68,73,68,73,75,71,71,26,32,13,16,8,12,13,55,70,65,59,56,67,35,56,65,69,72,75,83,84,71,62,69,26,65,68,69,63,66,65,73,68,66,69,63,68,58,65,73,65,73,68,66,69,63,68,58,65,73,58,2474
N. Kebano,25,74,77,83,49,81,85,75,72,71,70,76,73,71,15,12,16,15,15,59,38,82,64,72,25,74,71,72,71,74,21,81,75,27,58,71,69,73,44,53,74,68,73,53,44,68,53,74,74,72,74,57,73,53,44,68,53,74,74,72,74,57,72,2475
M. Salcatorini,33,74,74,68,41,76,85,75,79,59,68,75,72,64,10,11,12,11,13,47,43,48,60,63,38,73,68,74,75,60,30,66,67,32,44,76,69,73,45,55,71,68,73,53,45,68,55,71,70,66,71,57,73,53,45,68,55,71,70,66,71,57,66,2476
Dentinho,28,74,74,81,68,75,67,80,68,65,66,75,67,46,11,15,16,11,9,65,45,55,61,73,49,64,72,73,72,68,42,77,66,46,61,71,69,73,56,60,73,69,73,60,56,69,60,73,73,71,74,62,73,60,56,69,60,73,73,71,74,62,71,2477
L. Romagnoli,36,74,74,58,59,71,77,80,86,66,75,73,61,83,15,15,13,16,10,47,49,62,78,74,30,82,69,73,79,74,27,54,40,30,65,76,66,73,47,57,71,70,73,50,47,70,57,71,69,67,70,54,73,50,47,70,57,71,69,67,70,54,67,2478
D. Croce,34,74,74,79,72,79,78,75,74,68,61,75,51,59,12,12,6,8,13,50,72,78,72,65,63,60,66,72,76,70,69,75,72,67,70,76,51,72,68,71,70,73,72,70,68,73,71,70,72,65,71,71,72,70,68,73,71,70,72,65,71,71,65,2479
A. Jelverado,33,74,74,40,71,43,45,67,71,51,57,59,36,73,12,12,7,12,11,75,73,42,74,54,73,48,26,64,74,60,71,66,59,77,85,59,52,58,73,71,55,64,58,67,73,64,71,55,57,55,54,66,58,67,73,64,71,55,57,55,54,66,55,2480
Mikel Rico,32,74,74,60,72,68,73,73,82,55,52,60,59,63,15,7,10,9,9,55,79,79,73,58,58,60,68,82,77,80,74,48,73,79,76,76,53,69,72,75,68,73,69,70,72,73,75,68,67,66,65,70,69,70,72,73,75,68,67,66,65,70,66,2481
D. Stockdale,31,74,74,32,39,24,37,22,34,11,15,13,15,12,74,69,79,69,77,11,22,51,45,13,11,19,13,75,42,20,13,36,25,15,61,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482
José Ángel,27,74,74,72,69,74,60,71,67,77,72,68,42,67,12,13,10,16,13,59,74,68,61,57,69,45,60,73,68,69,76,77,73,73,66,56,42,64,70,70,64,66,64,73,70,66,70,64,67,62,66,73,64,73,70,66,70,64,67,62,66,73,62,2483
V. Stoyanov,30,74,74,48,26,37,42,21,53,12,11,11,11,11,71,75,71,73,76,16,23,54,25,15,13,18,15,71,29,16,11,50,35,12,75,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484
P. Ketlun,25,74,74,46,87,33,32,55,64,41,53,50,41,40,7,16,12,11,14,76,72,58,70,41,76,48,32,64,66,72,66,41,61,74,88,43,54,50,73,69,50,58,50,62,73,58,69,50,51,54,48,61,50,62,73,58,69,50,51,54,48,61,54,2485
K. Großkreutz,28,74,74,67,88,62,54,70,70,75,72,68,69,57,9,14,12,7,10,47,74,33,70,64,66,26,73,77,73,66,74,77,87,74,68,74,57,71,69,74,71,73,71,73,69,73,74,71,73,68,71,74,71,73,69,73,74,71,73,68,71,74,68,2486
M. Demir,25,74,76,78,59,84,84,78,65,68,83,82,71,78,14,10,12,16,6,67,32,76,67,72,19,75,72,71,69,81,17,78,78,35,64,68,74,74,46,53,74,68,74,52,46,68,53,74,74,73,75,56,74,52,46,68,53,74,74,73,75,56,73,2487
D. Lezcano,27,74,75,82,82,79,78,75,76,59,68,74,75,75,7,13,9,12,9,70,47,87,63,69,41,69,74,69,69,73,33,85,78,36,66,78,68,74,55,59,74,69,74,58,55,69,59,74,73,73,74,60,74,58,55,69,59,74,73,73,74,60,73,2488
K. Panchenko,27,74,75,75,40,69,65,73,70,65,75,73,74,80,12,10,15,10,12,72,21,59,67,78,25,71,75,71,71,79,23,76,75,20,74,70,66,72,43,50,74,67,72,50,43,67,50,74,72,74,72,53,72,50,43,67,50,74,72,74,72,53,74,2489
J. Puncheon,31,74,74,67,72,75,83,74,74,75,75,75,68,76,13,13,14,16,12,49,59,63,76,69,65,73,73,73,75,74,58,67,74,63,68,74,68,73,64,69,72,73,73,66,64,73,69,72,73,69,73,68,73,66,64,73,69,72,73,69,73,68,69,2490
G. Cimirot,24,74,77,73,66,72,80,75,70,65,61,72,65,64,8,15,9,7,13,55,72,64,73,70,61,60,65,72,75,73,66,74,78,67,66,72,61,72,66,71,71,73,72,70,66,73,71,71,72,68,71,71,72,70,66,73,71,71,72,68,71,71,68,2491
R. Morrison,24,74,78,70,63,75,76,79,68,68,62,80,66,61,14,15,13,12,8,49,35,42,74,67,35,56,66,58,78,67,43,73,41,55,58,74,65,73,51,58,71,69,73,55,51,69,58,71,71,67,72,57,73,55,51,69,58,71,71,67,72,57,67,2492
K. Moncora,25,74,74,54,81,48,57,62,66,49,49,46,38,42,8,10,9,18,18,76,75,71,63,50,74,54,48,68,67,62,72,58,73,76,72,47,38,55,73,70,54,61,55,68,73,61,70,54,55,56,53,66,55,68,73,61,70,54,55,56,53,66,56,2493
Padilhisco,25,74,74,82,45,71,67,76,76,74,66,77,56,56,13,8,9,10,12,62,66,60,67,61,71,55,51,65,67,62,74,83,81,75,72,51,45,66,68,69,66,66,66,73,68,66,69,66,70,64,69,73,66,73,68,66,69,66,70,64,69,73,64,2494
L. Christodoulopoulos,30,74,74,77,50,72,56,76,72,74,80,75,71,76,5,9,6,15,14,56,57,64,71,77,50,75,71,72,72,78,51,75,74,55,73,68,70,73,59,64,73,71,73,64,59,71,64,73,73,72,74,66,73,64,59,71,64,73,73,72,74,66,72,2495
R. Olsen,27,74,76,28,29,33,31,17,41,16,15,11,11,18,69,75,71,72,76,15,19,39,32,15,17,30,13,73,29,17,17,40,38,12,76,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496
L. Depoitre,28,74,74,48,77,37,40,72,73,42,46,64,74,29,7,16,6,9,12,82,32,68,59,63,15,62,77,72,70,77,38,61,82,46,90,65,69,67,54,56,69,66,67,51,54,66,56,69,65,73,64,53,67,51,54,66,56,69,65,73,64,53,73,2497
A. Bedoya,30,74,74,66,76,73,74,73,74,67,55,70,60,54,9,14,6,12,6,71,74,80,70,65,56,64,70,76,77,74,54,71,90,61,61,69,65,71,66,70,70,73,71,69,66,73,70,70,71,69,70,70,71,69,66,73,70,70,71,69,70,70,69,2498
